#featureID,isolation_center_m/z,rt,compound_m/z,compound_rt,compound_formula,DB_Compound_ID,Compound_Name,DB_Spectrum_ID,dot_product,ppm_Error,isotope_similiarity,Abundance,ComponentID,redundant
292,180.101821899414,1.1099835468,180.1019,-1,C10H13NO2,NGBBVGZWCFBOGO-UHFFFAOYSA-N,3_4-Methylenedioxyamphetamine,HMDB0041931,0.014799718486555894,0.43364684027742884,0.8940370036161044,0.0,original,False
292,180.101821899414,1.1099835468,180.1019,-1,C10H13NO2,IBRKLUSXDYATLG-UHFFFAOYSA-N,(R)-Salsolinol,HMDB0005199,0.001380804647008819,0.43364684027742884,0.8940370036161044,0.0,original,False
285,233.1285614013671,1.1009941308150002,233.1285,-1,C13H16N2O2,ROBVIMPUHSLWNV-UHFFFAOYSA-N,Aminoglutethimide,HMDB0014501,0.005188522143224523,-0.2633798567465361,0.9942616596248127,0.0,residual,False
285,233.1285614013671,1.1009941308150002,233.1285,-1,C13H16N2O2,DRLFMBDRBRZALE-UHFFFAOYSA-N,Melatonin,HMDB0001389,98.96376364536388,-0.2633798567465361,0.9942616596248127,0.992784616790591,DRLFMBDRBRZALE-UHFFFAOYSA-N,False
309,365.0496215820315,8.5317505856165,365.0493,-1,C10H13N4O9P,DCTLYFZHFGENCW-UUOKFMHZSA-N,Xanthylic acid,HMDB0001554,97.79064598218146,-0.8809268999298419,0.9664666511523584,1.0,original,False
319,158.08109664916975,1.8282166644125,158.0812,-1,C7H11NO3,WRUSVQOKJIDBLP-HWKANZROSA-N,Tiglylglycine,HMDB0000959,0.07119041353714264,0.6537836112911104,0.8858961109387926,0.0,original,False
315,346.05481296115477,5.233483994744445,346.0547,-1,C10H12N5O7P,ZOOGRGPOEVQQDX-UUOKFMHZSA-N,Cyclic GMP,HMDB0001314,67.58504593788626,-0.3264256138345414,0.9910879277425785,1.0,original,False
326,219.11276245117202,1.3049618167568,219.1128,-1,C12H14N2O2,GMHKMTDVRCWUDX-UHFFFAOYSA-N,Mephenytoin,HMDB0014673,72.56927556699148,0.1713675988369912,0.8526476787846569,0.170735316274959,GMHKMTDVRCWUDX-UHFFFAOYSA-N,False
326,219.11276245117202,1.3049618167568,219.1128,-1,C12H14N2O2,MVAWJSIDNICKHF-UHFFFAOYSA-N,N-Acetylserotonin,HMDB0001238,99.9059875142438,0.1713675988369912,0.8526476787846569,0.8133812158030741,MVAWJSIDNICKHF-UHFFFAOYSA-N,False
332,221.092032296317,6.060219230873857,221.0921,-1,C11H12N2O3,LDCYZAJDBXYCGN-VIFPVBQESA-N,5-Hydroxy-L-tryptophan,HMDB0000472,68.34610184085624,0.3062239841202914,0.9683754586230571,1.0,original,False
316,186.0162004743303,7.710984022947857,186.0162,-1,C3H8NO6P,BZQFBWGGLXLEPQ-REOHCLBHSA-N,Phosphoserine,HMDB0000272,0.04836906525915732,-0.0025499408405205044,0.9701086479729065,0.0,original,False
316,186.0162004743303,7.710984022947857,186.0162,-1,C3H8NO6P,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DL-O-Phosphoserine,HMDB0001721,0.04836906525915732,-0.0025499408405205044,0.9701086479729065,0.0,original,False
312,186.0162004743303,7.710984022947857,186.0162,-1,C3H8NO6P,BZQFBWGGLXLEPQ-REOHCLBHSA-N,Phosphoserine,HMDB0000272,0.04836906525915732,-0.0025499408405205044,0.9701086479729065,0.0,original,False
312,186.0162004743303,7.710984022947857,186.0162,-1,C3H8NO6P,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,DL-O-Phosphoserine,HMDB0001721,0.04836906525915732,-0.0025499408405205044,0.9701086479729065,0.0,original,False
305,227.1138333407315,6.847795767039184,227.1139,-1,C9H14N4O3,CQOVPNPJLQNMDC-ZETCQYMHSA-N,Carnosine,HMDB0000033,93.69421262046889,0.293505981196259,0.9837156181261639,1.0,original,False
331,339.0701817103796,6.9229322967358575,339.07,-1,C9H15N4O8P,NOTGFIUVDGNKRI-UUOKFMHZSA-N,AICAR,HMDB0001517,17.59693429917461,-0.5359078721588209,0.9706596760024897,1.0,original,False
374,348.07051086425804,7.14865472654175,348.0704,-1,C10H14N5O7P,LNQVTSROQXJCDD-KQYNXXCUSA-N,3'-AMP,HMDB0003540,0.12681781098487702,-0.318510918256593,0.948867910987759,0.0,original,False
330,189.1233256946908,6.39790056954082,189.1234,-1,C8H16N2O3,DKEXFJVMVGETOO-LURJTMIESA-N,Glycylleucine,HMDB0000759,0.00010795157391950054,0.39289341452257853,0.9873987902975373,0.0,original,False
330,189.1233256946908,6.39790056954082,189.1233596801755,6.369999999999999,-1,189.1233596801755|6.56,Predicted Analyte: m/z = 189.12336 rt: 6.37,-1,99.97700112825552,0.17970012195228027,-1,1.0,original,False
383,348.070561726888,6.032383780669167,348.0704,-1,C10H14N5O7P,LNQVTSROQXJCDD-KQYNXXCUSA-N,3'-AMP,HMDB0003540,99.37787662645846,-0.4646382250571549,0.9622511706110435,1.0,original,False
384,223.0746892293295,7.583311875786166,223.0747,-1,C7H14N2O4S,ILRYLPWNYFXEMH-WHFBIAKZSA-N,L-Cystathionine,HMDB0000099,0.7508572696942382,0.04828279959014415,0.969711931446951,0.0,original,False
397,134.04478236607142,6.556171859631142,134.0448,-1,C4H7NO4,CKLJMWTZIZZHCS-UHFFFAOYSA-N,1-deoxy-1-(N6-lysino)-D-fructose,HMDB0062501,17.22231410122247,0.13155251761108114,0.9087344373291928,1.0,original,False
397,134.04478236607142,6.556171859631142,134.0448,-1,C4H7NO4,CKLJMWTZIZZHCS-REOHCLBHSA-N,L-Aspartic acid,HMDB0000191,0.16812981386364434,0.13155251761108114,0.9087344373291928,0.0,original,False
401,786.1638305664062,4.9788298080634,786.1644,-1,C27H33N9O15P2,VWWQXMAJTJZDQX-UYBVJOGSSA-N,FAD,HMDB0001248,0.006525565002109225,0.7243192470273805,0.9565664521243024,0.0,original,False
350,162.11236476898182,5.3302830690145,162.1125,-1,C7H15NO3,PHIQHXFUZVPYII-UHFFFAOYSA-N,Malonyl-Carnitin,HMDB0062496,86.70773451461,0.8341807756871149,0.9969841787598549,0.9331285628717776,PHIQHXFUZVPYII-UHFFFAOYSA-N,False
321,136.0616673787437,2.5660709472989334,136.0618,-1,C5H5N5,GFFGJBXGBJISGV-UHFFFAOYSA-N,Adenine,HMDB0000034,98.21773352235802,0.9747143252602686,0.9988393534968928,0.55816685148878,GFFGJBXGBJISGV-UHFFFAOYSA-N,False
395,109.07600130353657,7.833294494127285,109.076,-1,C6H8N2,LCZUOKDVTBMCMX-UHFFFAOYSA-N,2_5-Dimethylpyrazine,HMDB0035289,58.789807318648535,-0.011950718422532407,0.9840369903420342,0.5208160479853782,LCZUOKDVTBMCMX-UHFFFAOYSA-N,False
